0.60%,0.80%,1%
682.6558511,567.3,428.2999
2360.705851,244.6898936,429.4836
4260.842553,283.3590426,583.0188
514.2255319,654.0797872,304.57
246.5521277,518.4984043,330.3454
686.2590426,874.2989362,345.5074
1736.575,690.9898936,241.8472
1926.195745,1250.816489,397.0316
2894.167021,551.3632979,363.9412
5218.584574,1694.705851,518.301
1015.641489,1612.415426,297.388
683.0510638,2290.173936,394.7706
,1354.471809,308.6132
,621.3515957,231.4466
,543.3702128,243.6826
,1370.804255,316.2208
,898.2303191,599.3512
,421.9909574,271.0008
,2016.361702,84.1358
,1364.869681,336.357
,1594.101064,473.4002
,442.6218085,140.0756
,309.2207447,224.4508
,1216.928723,362.425
,719.5207447,438.6074
,826.6579787,341.8366
,,311.2998
,,209.6878
,,484.8116
,,367.1066
,,533.3034
,,242.8048
,,548.359
,,606.0544
,,468.293
,,260.5736
,,336.5432
,,584.136
,,314.45456
,,482.524
,,229.8506
,,339.3362
,,270.8146
,,73.6022
,,274.8578
,,471.6446
,,320.1044
,,310.422
,,212.5606
,,360.297
,,542.0016
,,690.4562
,,566.7928
,,548.226
,,237.0326
,,276.1346
,,257.754
,,308.2408
,,285.8436
,,171.7296
,,42.294
,,378.7042
,,510.3476
,,276.9326
,,380.9386
,,224.5572
,,237.8572
,,332.9522
,,374.5014
