Date/Time: 3/4/2016 3:02:21 PM,,
Material:  Al 6061 T6,,
Time (ms),Displacement (um),Load (N)
132826,1329,660.632393
132926,1330,661.079387
133026,1331,661.280078
133126,1332,661.315264
133226,1333,661.545929
133326,1334,661.912125
133426,1335,662.456859
133526,1336,662.618454
133626,1337,662.945555
133726,1338,663.0863
133826,1339,663.528081
133926,1340,663.902096
134026,1341,664.251351
134126,1342,664.364729
134226,1343,664.621457
134326,1344,665.119276
134426,1345,665.554541
134526,1346,665.99502
134626,1347,666.152706
134726,1348,666.397705
134826,1349,666.955471
134926,1350,667.549725
135026,1351,667.876826
135126,1352,668.044938
135226,1353,668.150496
135326,1354,668.520602
135426,1355,669.122676
135526,1356,669.53709
135626,1357,669.713021
135726,1358,669.772968
135826,1359,670.105281
135926,1360,670.493632
136026,1361,671.048791
136126,1362,671.263817
136226,1363,671.349828
136326,1364,671.554428
136426,1365,671.872407
136526,1366,672.513576
136626,1367,672.90714
136726,1368,672.835464
136826,1369,673.015304
136926,1370,673.377591
137026,1371,673.888442
137126,1372,674.250729
137226,1373,674.490516
137326,1374,674.588255
137426,1375,674.963574
137526,1376,675.450967
137626,1377,675.84844
137726,1378,676.119503
137826,1379,676.11429
137926,1380,676.466152
138026,1381,676.917055
138126,1382,677.300193
138226,1383,677.741975
138326,1384,677.877506
138426,1385,678.006522
138526,1386,678.475671
138626,1387,678.981308
138726,1388,679.367053
138826,1389,679.41918
138926,1390,679.638116
139026,1391,679.961307
139126,1392,680.581626
139226,1393,680.895695
139326,1394,681.007769
139426,1395,681.247556
139526,1396,681.506891
139626,1397,681.774045
139726,1398,682.404789
139826,1399,682.622421
139926,1400,682.664123
140026,1401,682.974283
140126,1402,683.259681
140226,1403,683.881303
140326,1404,684.042899
140426,1405,684.295717
140526,1406,684.313962
140626,1407,684.708829
140726,1408,685.213163
140826,1409,685.606727
140926,1410,685.713588
141026,1411,685.953375
141126,1412,686.323481
141226,1413,686.885156
141326,1414,687.298267
141426,1415,687.633187
141526,1416,687.557602
141626,1417,687.801299
141726,1418,688.175314
141826,1419,688.730473
141926,1420,689.024994
142026,1421,689.263478
142126,1422,689.255659
142226,1423,689.559302
142326,1424,689.720898
142426,1425,690.253902
142526,1426,690.257812
142626,1427,690.347732
142726,1428,690.739992
142826,1429,691.342066
142926,1430,691.588369
143026,1431,691.816427
143126,1432,691.91156
143226,1433,692.182624
143326,1434,692.702596
143426,1435,693.032303
143526,1436,693.103979
143626,1437,693.102676
143726,1438,693.442808
143826,1439,693.638287
143926,1440,694.319855
144026,1441,694.476238
144126,1442,694.869801
144226,1443,694.821583
144326,1444,695.226875
144426,1445,695.516184
144526,1446,696.119561
144626,1447,696.169082
144726,1448,696.406262
144826,1449,696.603044
144926,1450,696.990092
145026,1451,697.322405
145126,1452,697.438389
145226,1453,697.481394
145326,1454,697.825436
145426,1455,698.242457
145526,1456,698.744185
145626,1457,698.997004
145726,1458,699.198999
145826,1459,699.09735
145926,1460,699.429663
146026,1461,700.039556
146126,1462,700.147721
146226,1463,700.423997
146326,1464,700.517827
146426,1465,700.771949
146526,1466,701.063864
146626,1467,701.64248
146726,1468,701.961762
146826,1469,701.957852
146926,1470,702.016496
147026,1471,702.499979
147126,1472,702.817957
147226,1473,702.931335
147326,1474,702.993888
147426,1475,703.21543
147526,1476,703.426547
147626,1477,703.779712
147726,1478,704.246254
147826,1479,704.072929
147926,1480,704.183701
148026,1481,704.488647
148126,1482,704.942157
148226,1483,705.228859
148326,1484,705.58463
148426,1485,705.334417
148526,1486,705.763167
148626,1487,706.142395
148726,1488,706.780958
148826,1489,706.702767
148926,1490,706.903458
149026,1491,707.007713
149126,1492,707.311357
149226,1493,707.788324
149326,1494,707.951223
149426,1495,707.986409
149526,1496,708.265292
149626,1497,708.505079
149726,1498,708.965105
149826,1499,709.056328
149926,1500,709.004201
150026,1501,709.128004
150126,1502,709.392551
150226,1503,709.937285
150326,1504,710.244837
150426,1505,710.397311
150526,1506,710.220077
150626,1507,710.505475
150726,1508,710.942044
150826,1509,711.235262
150926,1510,711.394251
151026,1511,711.564969
151126,1512,711.532389
151226,1513,711.717442
151326,1514,712.051059
151426,1515,712.37034
151526,1516,712.475899
151626,1517,712.659649
151726,1518,713.008904
151826,1519,713.408983
151926,1520,713.612281
152026,1521,713.523664
152126,1522,713.58752
152226,1523,713.814275
152326,1524,714.278211
152426,1525,714.62095
152526,1526,714.611827
152626,1527,714.817731
152726,1528,714.759088
152826,1529,714.936322
152926,1530,715.299912
153026,1531,715.561853
153126,1532,715.660895
153226,1533,715.56055
153326,1534,715.912411
153426,1535,716.060975
153526,1536,716.444112
153626,1537,716.459751
153726,1538,716.607011
153826,1539,716.720389
153926,1540,717.080069
154026,1541,717.404564
154126,1542,717.236452
154226,1543,717.242968
154326,1544,717.474936
154426,1545,717.901079
154526,1546,718.179962
154626,1547,718.396291
154726,1548,718.082222
154826,1549,718.31419
154926,1550,718.510972
155026,1551,718.952753
155126,1552,719.094801
155226,1553,719.249881
155326,1554,719.027035
155426,1555,719.334588
155526,1556,719.523551
155626,1557,719.849348
155726,1558,719.763338
155826,1559,719.724242
155926,1560,719.987486
156026,1561,720.440996
156126,1562,720.59347
156226,1563,720.586954
156326,1564,720.640384
156426,1565,720.666448
156526,1566,721.082166
156626,1567,721.328469
156726,1568,721.509612
156826,1569,721.370171
156926,1570,721.456181
157026,1571,721.628202
157126,1572,722.114292
157226,1573,722.176845
157326,1574,722.301952
157426,1575,722.144266
157526,1576,722.251127
157626,1577,722.553467
157726,1578,722.992642
157826,1579,722.847988
157926,1580,722.958759
158026,1581,722.907935
158126,1582,723.22852
158226,1583,723.361445
158326,1584,723.463094
158426,1585,723.541285
158526,1586,723.512615
158626,1587,723.86187
158726,1588,724.101657
158826,1589,724.260646
158926,1590,724.301045
159026,1591,724.25804
159126,1592,724.430061
159226,1593,724.910938
159326,1594,724.914848
159426,1595,725.063411
159526,1596,724.95264
159626,1597,725.124661
159726,1598,725.170273
159826,1599,725.563836
159926,1600,725.395725
160026,1601,725.518225
160126,1602,725.533863
160226,1603,725.853145
160326,1604,725.917001
160426,1605,726.077293
160526,1606,725.828384
160626,1607,725.810139
160726,1608,726.19458
160826,1609,726.476069
160926,1610,726.610298
161026,1611,726.373117
161126,1612,726.498224
161226,1613,726.636362
161326,1614,727.079446
161426,1615,727.153728
161526,1616,727.117239
161626,1617,727.032532
161726,1618,727.290563
161826,1619,727.320537
161926,1620,727.616361
162026,1621,727.556414
162126,1622,727.634605
162226,1623,727.599419
162326,1624,728.098541
162426,1625,728.052929
162526,1626,728.038594
162626,1627,728.086812
162726,1628,728.155881
162826,1629,728.166307
162926,1630,728.670641
163026,1631,728.688886
163126,1632,728.634152
163226,1633,728.479073
163326,1634,728.522078
163426,1635,728.868726
163526,1636,729.232316
163626,1637,729.306598
163726,1638,729.241439
163826,1639,729.232316
163926,1640,729.547688
164026,1641,729.661066
164126,1642,729.688433
164226,1643,729.429098
164326,1644,729.41346
164426,1645,729.591997
164526,1646,729.986863
164626,1647,730.122395
164726,1648,729.907369
164826,1649,729.969922
164926,1650,730.162794
165026,1651,730.256624
165126,1652,730.522474
165226,1653,730.5329
165326,1654,730.482076
165426,1655,730.485985
165526,1656,730.555054
165626,1657,730.89649
165726,1658,730.998139
165826,1659,730.891277
165926,1660,730.919947
166026,1661,730.947314
166126,1662,731.151915
166226,1663,731.37867
166326,1664,731.366942
166426,1665,731.189708
166526,1666,731.230107
166626,1667,731.592394
166726,1668,731.799601
166826,1669,731.75008
166930,1670,731.489441
167026,1671,731.490745
167126,1672,731.555904
167226,1673,731.898643
167326,1674,731.767021
167426,1675,731.559814
167526,1676,731.615851
167626,1677,731.710984
167726,1678,732.150159
167826,1679,732.198377
167926,1680,732.036781
168026,1681,731.931223
168126,1682,732.049813
168226,1683,732.365185
168326,1684,732.611488
168426,1685,732.488988
168526,1686,732.333909
168626,1687,732.50202
168726,1688,732.765265
168826,1689,733.29436
168926,1690,733.201833
169026,1691,733.096275
169126,1692,733.115823
169226,1693,733.334759
169326,1694,733.586274
169426,1695,733.781753
169526,1696,733.466381
169626,1697,733.578455
169726,1698,733.751779
169826,1699,733.972019
169926,1700,734.227444
170026,1701,733.86646
170126,1702,734.000689
170226,1703,734.084093
170326,1704,734.373401
170426,1705,734.424225
170526,1706,734.141433
170626,1707,734.25872
170726,1708,734.292603
170826,1709,734.432045
170926,1710,734.592337
171026,1711,734.647071
171126,1712,734.524571
171226,1713,734.529784
171326,1714,734.614491
171426,1715,734.889464
171526,1716,735.061485
171626,1717,734.894677
171726,1718,734.907709
171826,1719,735.001539
171926,1720,735.299969
172026,1721,735.154012
172126,1722,735.267389
172226,1723,735.157921
172326,1724,735.087549
172426,1725,735.284331
172526,1726,735.507176
172626,1727,735.485022
172726,1728,735.217868
172826,1729,735.217868
172926,1730,735.44332
173026,1731,735.703958
173126,1732,735.779543
173226,1733,735.607522
173326,1734,735.505873
173426,1735,735.779543
173526,1736,735.829064
173626,1737,735.973718
173726,1738,735.771724
173826,1739,735.812123
173926,1740,736.087096
174026,1741,736.286484
174126,1742,736.480659
174226,1743,736.50151
174326,1744,736.303425
174426,1745,736.393346
174526,1746,736.617494
174626,1747,736.905499
174726,1748,736.905499
174826,1749,736.815579
174926,1750,736.806457
175026,1751,736.870313
175126,1752,737.173956
175226,1753,737.123132
175326,1754,737.250845
175426,1755,737.158318
175526,1756,737.515392
175626,1757,737.50236
175726,1758,737.654834
175826,1759,737.481509
175926,1760,737.330339
176026,1761,737.435898
176126,1762,737.885498
176226,1763,737.882892
176326,1764,737.867254
176426,1765,737.721296
176526,1766,737.862041
176626,1767,738.043184
176726,1768,738.298609
176826,1769,738.268636
176926,1770,738.08228
177026,1771,738.117466
177126,1772,738.277758
177226,1773,738.423716
177326,1774,738.432838
177426,1775,738.404168
177526,1776,738.349434
177626,1777,738.664806
177726,1778,738.729965
177826,1779,738.920231
177926,1780,738.723449
178026,1781,738.60095
178126,1782,738.638742
178226,1783,738.832917
178326,1784,739.016667
178426,1785,738.834221
178526,1786,738.667412
178626,1787,738.782093
178726,1788,738.961933
178826,1789,739.028396
178926,1790,739.05055
179026,1791,738.946295
179126,1792,738.860284
179226,1793,739.137864
179326,1794,739.488422
179426,1795,739.38938
179526,1796,739.547066
179626,1797,739.480603
179726,1798,739.590071
179826,1799,739.909352
179926,1800,740.192145
180026,1801,739.881985
180126,1802,739.902836
180226,1803,740.029246
180326,1804,740.265123
180426,1805,740.439751
180526,1806,740.53358
180626,1807,740.279458
180726,1808,740.378501
180826,1809,740.493181
180926,1810,740.729059
181026,1811,740.829405
181126,1812,740.417596
181226,1813,740.426719
181326,1814,740.516639
181426,1815,740.818979
181526,1816,740.662596
181626,1817,740.676931
181726,1818,740.413687
181826,1819,740.521852
181926,1820,740.785096
182026,1821,740.777277
182126,1822,740.777277
182226,1823,740.727756
182326,1824,740.652171
182426,1825,741.1135
182526,1826,741.179963
182626,1827,741.149989
182726,1828,740.851559
182826,1829,740.937569
182926,1830,741.234697
183026,1831,741.574829
183126,1832,741.806797
183226,1833,741.729909
183326,1834,741.68951
183426,1835,742.132595
183526,1836,742.223818
183626,1837,742.067435
183726,1838,742.08177
183826,1839,741.927994
183926,1840,742.012701
184026,1841,742.17169
184126,1842,742.411477
184226,1843,742.398445
184326,1844,742.223818
184426,1845,742.132595
184526,1846,742.583498
184626,1847,742.579589
184726,1848,742.331983
184826,1849,742.170387
184926,1850,742.184722
185026,1851,742.307222
185126,1852,742.56786
185226,1853,742.493578
185326,1854,742.377594
185426,1855,742.356743
185526,1856,742.755519
185626,1857,742.932753
185726,1858,742.883232
185826,1859,743.000519
185926,1860,742.871503
186026,1861,742.891051
186126,1862,743.41363
186226,1863,743.305466
186326,1864,743.377141
186426,1865,742.974455
186526,1866,743.027886
186626,1867,743.156902
186726,1868,743.387567
186826,1869,743.361503
186926,1870,743.150386
187026,1871,743.056556
187126,1872,743.159508
187226,1873,743.502247
187326,1874,743.652114
187426,1875,743.50746
187526,1876,743.482699
187626,1877,743.418843
187726,1878,743.769401
187826,1879,743.757673
187926,1880,743.893204
188026,1881,743.769401
188126,1882,743.9323
188226,1883,744.220305
188326,1884,744.437938
188426,1885,744.398842
188526,1886,744.307619
188626,1887,744.454879
188726,1888,744.651661
188826,1889,744.675118
188926,1890,744.499188
189026,1891,744.383204
189126,1892,744.35714
189226,1893,744.690757
189326,1894,744.671209
189426,1895,744.587805
189526,1896,744.600836
189626,1897,744.423603
189726,1898,744.539587
189826,1899,744.701182
189926,1900,745.062166
190026,1901,745.096049
190126,1902,744.831501
190226,1903,744.806741
190326,1904,745.077804
190426,1905,745.444
190526,1906,745.460942
190626,1907,745.316288
190726,1908,745.317591
190826,1909,745.60299
190926,1910,745.781527
191026,1911,745.915755
191126,1912,745.808894
191226,1913,745.622537
191326,1914,745.702032
191426,1915,745.96267
191526,1916,746.078654
191626,1917,746.219399
191726,1918,746.086473
191826,1919,746.29759
191926,1920,746.435728
192026,1921,746.467005
192126,1922,746.533467
192226,1923,746.276739
192326,1924,746.129478
192426,1925,746.53477
192526,1926,746.63251
192626,1927,746.637723
192726,1928,746.546499
192826,1929,746.516526
192926,1930,746.483946
193026,1931,746.798015
193126,1932,746.955701
193226,1933,746.833201
193326,1934,746.614265
193426,1935,746.641632
193526,1936,746.923121
193626,1937,747.173334
193726,1938,746.877509
193826,1939,746.834504
193926,1940,746.880116
194026,1941,747.088626
194126,1942,747.282802
194226,1943,747.284105
194326,1944,747.115993
194426,1945,747.015648
194526,1946,747.44961
194626,1947,747.479583
194726,1948,747.457429
194826,1949,747.202004
194926,1950,747.125116
195026,1951,747.328413
195126,1952,747.602083
195226,1953,747.684184
195326,1954,747.569503
195426,1955,747.488706
195526,1956,747.503041
195626,1957,747.677668
195727,1958,747.791046
195826,1959,747.856205
195926,1960,747.556471
196026,1961,747.512163
196126,1962,747.643785
196226,1963,747.893998
196326,1964,747.923971
196426,1965,747.814503
196526,1966,747.793652
196626,1967,747.848386
196726,1968,748.089476
196826,1969,748.191125
196926,1970,748.045168
197026,1971,747.940913
197126,1972,747.869237
197226,1973,748.14421
197326,1974,748.243253
197426,1975,748.197641
197526,1976,747.950035
197626,1977,748.013891
197726,1978,748.340992
197826,1979,748.681124
197926,1980,748.460885
198026,1981,748.583385
198126,1982,748.579476
198226,1983,748.876603
198326,1984,748.896151
198426,1985,748.922215
198526,1986,748.638119
198626,1987,748.664183
198726,1988,748.734555
198826,1989,749.142454
198926,1990,749.003012
199026,1991,748.945672
199126,1992,748.862268
199226,1993,749.098145
199326,1994,749.057746
199426,1995,749.02647
199526,1996,748.888332
199626,1997,748.8753
199726,1998,749.034289
199826,1999,749.244103
199926,2000,749.201097
200026,2001,749.313172
200126,2002,749.118996
200226,2003,749.378331
200326,2004,749.951735
200426,2005,750.098995
200526,2006,750.092479
200626,2007,750.161548
200726,2008,750.11333
200826,2009,750.281442
200926,2010,750.767532
201026,2011,750.675005
201126,2012,750.813143
201226,2013,750.591601
201326,2014,750.746681
201426,2015,751.181946
201526,2016,751.309659
201626,2017,751.084207
201726,2018,751.17934
201826,2019,751.41652
201926,2020,751.717557
202026,2021,751.789233
202126,2022,751.657611
202226,2023,751.536414
202326,2024,751.494712
202426,2025,751.923461
202526,2026,752.061599
202626,2027,751.941706
202726,2028,751.644579
202826,2029,751.625031
202926,2030,751.529898
203026,2031,751.897398
203126,2032,751.958647
203226,2033,751.885669
203326,2034,751.678462
203426,2035,751.750137
203526,2036,752.026413
203626,2037,752.223195
203726,2038,752.060296
203826,2039,752.077238
203926,2040,752.072025
204026,2041,752.393913
204126,2042,752.403035
204226,2043,752.182796
204326,2044,752.174977
204426,2045,752.259684
204526,2046,752.593301
204626,2047,752.732742
204726,2048,752.876093
204826,2049,752.48253
204926,2050,752.366546
205026,2051,752.728833
205126,2052,752.930827
205226,2053,752.78487
205326,2054,752.711891
205426,2055,752.562024
205526,2056,752.734046
205626,2057,752.822662
205726,2058,753.061146
205826,2059,753.169311
205926,2060,752.989471
206026,2061,752.999896
206126,2062,753.160189
206226,2063,753.213619
206326,2064,753.104151
206426,2065,752.96862
206526,2066,753.003806
206626,2067,753.207103
206726,2068,753.281385
206826,2069,753.272263
206926,2070,753.006412
207026,2071,752.973832
207126,2072,752.902157
207226,2073,753.324391
207326,2074,753.313965
207426,2075,753.211013
207526,2076,752.895641
207626,2077,752.96862
207726,2078,752.989471
207826,2079,753.127609
207926,2080,752.904763
208026,2081,752.732742
208126,2082,752.573753
208226,2083,752.753593
208326,2084,752.829178
208426,2085,752.750987
208526,2086,752.57636
208626,2087,752.461679
208726,2088,752.697556
208826,2089,752.899551
208926,2090,752.833088
209026,2091,752.323541
209126,2092,752.168461
209226,2093,752.217982
209326,2094,752.498168
209426,2095,752.434312
209526,2096,752.285748
209626,2097,752.224498
209726,2098,752.446041
209826,2099,752.744471
209926,2100,752.770535
210026,2101,752.687131
210126,2102,752.71971
210226,2103,752.724923
210326,2104,752.981652
210426,2105,753.325694
210526,2106,753.294417
210626,2107,753.085907
210727,2108,753.435162
210826,2109,753.571997
210926,2110,754.228804
211026,2111,754.528538
211126,2112,754.428193
211226,2113,754.644522
211326,2114,755.013325
211426,2115,755.608883
211526,2116,755.727473
211626,2117,755.942499
211726,2118,755.739202
211826,2119,755.868218
211926,2120,756.102792
212026,2121,756.531541
212126,2122,756.412951
212226,2123,756.399919
212326,2124,756.323031
212426,2125,756.309999
212526,2126,756.736142
212626,2127,756.797392
212726,2128,756.601914
212826,2129,756.582366
212926,2130,756.741355
213026,2131,756.9642
213126,2132,756.991567
213226,2133,756.981142
213326,2134,756.715291
213426,2135,756.738749
213526,2136,757.069759
213626,2137,757.149253
213726,2138,757.064546
213826,2139,756.809121
213926,2140,756.87819
214026,2141,756.930317
214126,2142,757.18053
214226,2143,757.017631
214326,2144,756.991567
214426,2145,756.913376
214526,2146,757.23787
214626,2147,757.370796
214726,2148,757.413801
214826,2149,757.27045
214926,2150,757.415104
215026,2151,757.557152
215126,2152,757.799545
215226,2153,757.744811
215326,2154,757.495902
215426,2155,757.38904
215526,2156,757.536301
215626,2157,757.856886
215726,2158,757.959838
215826,2159,757.991114
215926,2160,757.641859
216026,2161,757.742205
216126,2162,757.750024
216226,2163,758.040635
216326,2164,757.85037
216426,2165,757.889465
216526,2166,757.721354
216626,2167,757.860795
216726,2168,757.871221
216826,2169,757.984598
216926,2170,757.742205
217026,2171,757.661407
217126,2172,757.918135
217226,2173,758.233507
217326,2174,758.283029
217426,2175,757.955928
217526,2176,758.023694
217626,2177,758.090157
217726,2178,758.129252
217826,2179,758.41856
217926,2180,758.404225
218026,2181,758.017178
218126,2182,758.083641
218226,2183,758.190502
218326,2184,758.51239
218426,2185,758.458959
218526,2186,758.495449
218626,2187,758.383374
218726,2188,758.442018
218826,2189,758.591885
218926,2190,758.776938
219026,2191,758.72481
219126,2192,758.810821
219226,2193,758.861645
219326,2194,759.139225
219426,2195,759.180927
219526,2196,758.955475
219626,2197,758.852523
219726,2198,758.844704
219826,2199,759.096219
219926,2200,759.184836
220026,2201,759.285182
220126,2202,758.885102
220226,2203,758.912469
220326,2204,758.896831
220426,2205,759.080581
220526,2206,759.191352
220626,2207,759.312549
220726,2208,759.019331
220826,2209,759.186139
220926,2210,759.398559
221026,2211,759.564065
221126,2212,759.408985
221226,2213,759.493692
221326,2214,759.532788
221426,2215,759.826006
221526,2216,759.958931
221626,2217,759.854676
221726,2218,759.618798
221826,2219,759.823399
221926,2220,760.106192
222026,2221,760.422867
222126,2222,760.425473
222226,2223,760.153106
222326,2224,760.073612
222426,2225,760.158319
222526,2226,760.551883
222626,2227,760.687414
222726,2228,760.602707
222826,2229,760.447627
222926,2230,760.498452
223026,2231,760.749967
223126,2232,760.944143
223226,2233,760.764303
223326,2234,760.744755
223426,2235,760.739542
223526,2236,760.803398
223626,2237,761.041882
223726,2238,760.749967
223826,2239,760.811217
223926,2240,760.66526
224026,2241,760.94284
224126,2242,761.084887
224226,2243,761.156563
224326,2244,760.671776
224426,2245,760.773425
224526,2246,760.742148
224626,2247,761.113557
224726,2248,761.170898
224826,2249,761.18393
224926,2250,760.998877
225026,2251,761.096616
225126,2252,761.100526
225226,2253,761.460206
225326,2254,761.495392
225426,2255,761.641349
225526,2256,761.690871
225626,2257,761.965844
225726,2258,762.1522
225826,2259,762.11962
225926,2260,762.023184
226026,2261,762.049248
226126,2262,762.232998
226226,2263,762.429779
226326,2264,762.45063
226426,2265,762.103982
226526,2266,762.187386
226626,2267,762.378955
226726,2268,762.682598
226826,2269,762.655231
226926,2270,762.784247
227026,2271,762.437599
227126,2272,762.575737
227226,2273,762.461056
227326,2274,762.863742
227426,2275,762.694327
227526,2276,762.616136
227626,2277,762.453237
227726,2278,762.660444
227826,2279,762.917172
227926,2280,762.63829
228026,2281,762.539247
228126,2282,762.513184
228226,2283,762.823343
228326,2284,763.031853
228426,2285,763.145231
228526,2286,763.162172
228626,2287,762.754274
228726,2288,762.815524
228826,2289,763.220816
228926,2290,763.258608
229026,2291,763.270337
229126,2292,762.896321
229226,2293,763.183023
229326,2294,763.291188
229426,2295,763.57789
229526,2296,763.441055
229626,2297,763.381108
229726,2298,763.292491
229826,2299,763.631321
229926,2300,763.619592
230026,2301,763.532278
230126,2302,763.368076
230226,2303,763.434539
230326,2304,763.722544
230426,2305,763.93757
230526,2306,764.113501
230626,2307,763.845044
230726,2308,763.899778
230826,2309,763.99882
230926,2310,764.320708
231026,2311,764.380655
231126,2312,764.477091
231226,2313,764.219059
231326,2314,764.318102
231427,2315,764.226878
231526,2316,764.586559
231626,2317,764.331134
231726,2318,764.401506
231826,2319,764.241214
231926,2320,764.33374
232026,2321,764.594378
232126,2322,764.702543
232226,2323,764.621745
232326,2324,764.582649
232426,2325,764.759883
232526,2326,764.982729
232626,2327,765.015308
232726,2328,764.689511
232826,2329,764.735123
232926,2330,764.927995
233026,2331,765.351531
233126,2332,765.470122
233226,2333,765.600441
233326,2334,765.303313
233426,2335,765.496186
233526,2336,765.522249
233626,2337,765.818074
233726,2338,765.660388
233826,2339,765.722941
233926,2340,765.490973
234026,2341,765.739882
234126,2342,765.768552
234226,2343,765.812861
234326,2344,765.60435
234426,2345,765.875414
234526,2346,765.570467
234626,2347,765.923632
234726,2348,766.100866
234826,2349,765.931451
234926,2350,765.862382
235026,2351,765.94318
235126,2352,766.05786
235226,2353,766.340653
235326,2354,766.352381
235426,2355,765.997914
235526,2356,766.069589
235626,2357,766.085227
235726,2358,766.534828
235826,2359,766.511371
235926,2360,766.448817
236026,2361,766.615626
236126,2362,766.910147
236226,2363,766.94403
236326,2364,767.182513
236426,2365,766.921875
236526,2366,766.877567
236626,2367,766.949242
236726,2368,767.264614
236826,2369,767.255492
236926,2370,767.101716
237026,2371,766.835865
237126,2372,766.938817
237226,2373,767.255492
237326,2374,767.273737
237426,2375,767.153843
237526,2376,767.116051
237626,2377,767.121264
237726,2378,767.200758
237826,2379,767.497885
237926,2380,767.435332
238026,2381,767.551316
238126,2382,767.258098
238226,2383,767.466609
238326,2384,767.501795
238426,2385,767.669907
238526,2386,767.419694
238626,2387,767.431423
238726,2388,767.578683
238826,2389,767.860172
238926,2390,767.920119
239026,2391,767.916209
239126,2392,767.78589
239226,2393,767.755917
239326,2394,767.94097
239426,2395,768.180757
239526,2396,768.320198
239626,2397,768.206821
239726,2398,768.192486
239826,2399,768.159906
239926,2400,768.483097
240026,2401,768.433576
240126,2402,768.424454
240226,2403,768.191183
240326,2404,768.18597
240426,2405,768.537831
240526,2406,768.562592
240626,2407,768.591262
240726,2408,768.33323
240826,2409,768.377539
240926,2410,768.803682
241026,2411,768.806288
241126,2412,768.718975
241226,2413,768.591262
241326,2414,768.583443
241426,2415,768.806288
241526,2416,769.057804
241626,2417,769.165969
241726,2418,768.866235
241826,2419,768.889692
241926,2420,768.947033
242026,2421,769.418788
242126,2422,769.444851
242226,2423,769.412272
242326,2424,769.250676
242426,2425,769.424
242526,2426,769.669
242626,2427,769.801925
242726,2428,769.712005
242826,2429,769.601234
242926,2430,769.45658
243026,2431,769.84884
243126,2432,769.827989
243226,2433,769.685942
243326,2434,769.504798
243426,2435,769.528256
243526,2436,769.748495
243626,2437,769.702883
243726,2438,769.822776
243826,2439,769.539984
243926,2440,769.588202
244026,2441,769.692457
244126,2442,770.050835
244226,2443,770.092537
244326,2444,770.166819
244426,2445,769.843628
244526,2446,770.132936
244626,2447,770.261952
244726,2448,770.462643
244826,2449,770.3636
244926,2450,770.392271
245026,2451,770.406606
245126,2452,770.723281
245226,2453,770.903121
245326,2454,770.843174
245426,2455,770.645089
245526,2456,770.811898
245626,2457,770.797563
245726,2458,771.176791
245826,2459,771.09469
245926,2460,770.82493
246026,2461,770.813201
246126,2462,770.870541
246226,2463,771.165062
246326,2464,771.282349
246426,2465,771.218493
246526,2466,771.211977
246626,2467,771.380089
246726,2468,771.440035
246826,2469,771.734556
246926,2470,771.488253
247026,2471,771.460886
247126,2472,771.468706
247226,2473,771.565142
247326,2474,771.60945
247426,2475,771.597721
247526,2476,771.527349
247626,2477,771.258892
247726,2478,771.421791
247826,2479,771.589902
247926,2480,771.149424
248026,2481,770.364904
248126,2482,769.666394
248226,2483,768.892299
248326,2484,768.497432
248426,2485,767.781981
248526,2486,766.864535
248626,2487,766.052648
248726,2488,765.335893
248826,2489,765.020521
248926,2490,764.972303
249026,2491,764.482304
249126,2492,764.189086
249226,2493,764.044432
249326,2494,764.173448
249426,2495,764.448421
249526,2496,764.60741
249626,2497,764.581346
249726,2498,764.817224
249826,2499,765.260308
249926,2500,765.776371
250026,2501,766.086531
250126,2502,766.198605
250226,2503,766.589562
250326,2504,767.136902
250426,2505,767.817167
250526,2506,768.670756
250626,2507,769.216793
250726,2508,770.118601
250826,2509,770.768892
250926,2510,771.494769
251026,2511,772.229768
251126,2512,772.534715
251226,2513,772.898305
251326,2514,773.069023
251426,2515,773.612453
251526,2516,774.011229
251626,2517,774.223649
251726,2518,774.287506
251826,2519,774.142851
251926,2520,774.331814
252026,2521,774.679766
252126,2522,774.846574
252226,2523,774.709739
252326,2524,774.660218
252426,2525,774.655005
252526,2526,775.022505
252626,2527,775.21668
252726,2528,775.194526
252826,2529,774.871335
252926,2530,774.862212
253026,2531,774.851787
253126,2532,775.21668
253226,2533,775.091574
253326,2534,775.052478
253426,2535,774.813994
253526,2536,775.142398
253626,2537,775.075936
253726,2538,775.242744
253826,2539,774.893489
253926,2540,774.958648
254026,2541,774.937797
254126,2542,775.207558
254226,2543,775.182797
254326,2544,775.052478
254426,2545,774.864819
254526,2546,774.933888
254626,2547,774.870032
254726,2548,775.284446
254826,2549,775.232318
254926,2550,774.935191
255026,2551,774.841361
255126,2552,774.794446
255226,2553,775.167159
255326,2554,775.131973
255426,2555,775.077239
255526,2556,774.841361
255626,2557,774.954739
255726,2558,775.21277
255826,2559,775.258382
255926,2560,775.002957
256026,2561,774.944313
256126,2562,774.94692
256226,2563,775.134579
256326,2564,775.145005
256426,2565,775.139792
256526,2566,774.866122
256626,2567,774.868728
256726,2568,775.203648
256826,2569,775.414765
256926,2570,775.500775
257026,2571,775.165856
257126,2572,775.275324
257226,2573,775.24926
257326,2574,775.628488
257426,2575,775.636307
257526,2576,775.807025
257626,2577,775.6741
257726,2578,775.714499
257826,2579,775.816147
257926,2580,776.050722
258026,2581,775.846121
258126,2582,775.870881
258226,2583,775.756201
258326,2584,775.966014
258426,2585,776.109365
258526,2586,775.950376
258626,2587,775.679313
258726,2588,775.696254
258826,2589,775.73535
258926,2590,776.06636
259026,2591,776.117184
259126,2592,775.728834
259226,2593,775.603728
259326,2594,775.717105
259426,2595,776.12761
