Date/Time: 3/4/2016 3:02:21 PM,,
Material:  Al 6061 T6,,
Time (ms),Displacement (um),Load (N)
34926,350,266.939985
35026,351,266.821395
35126,352,267.307485
35226,353,267.810516
35326,354,268.617191
35426,355,268.89477
35526,356,269.513785
35626,357,269.872163
35726,358,270.269636
35826,359,270.938172
35926,360,271.361709
36026,361,271.593677
36126,362,272.10583
36226,363,272.762638
36326,364,273.268276
36426,365,273.785642
36526,366,274.005881
36626,367,274.256094
36726,368,274.787795
36826,369,275.511066
36926,370,275.963273
37026,371,276.474123
37126,372,276.504097
37226,373,277.018857
37326,374,277.597473
37426,375,278.297286
37526,376,278.729945
37626,377,278.848536
37726,378,279.269466
37826,379,279.850689
37926,380,280.255981
38026,381,280.632603
38126,382,280.816353
38226,383,281.147363
38326,384,281.66082
38426,385,282.291564
38526,386,282.842813
38626,387,283.332813
38726,388,283.374515
38826,389,283.725073
38926,390,284.448343
39026,391,284.946162
39126,392,285.399672
39226,393,285.621214
39326,394,285.828422
39426,395,286.186799
39526,396,286.856638
39626,397,287.354457
39726,398,287.819696
39826,399,288.006052
39926,400,288.354004
40026,401,289.167194
40126,402,289.562061
40226,403,289.896981
40326,404,290.437805
40426,405,290.990357
40526,406,291.657591
40626,407,292.210143
40726,408,292.627164
40826,409,292.602403
40926,410,293.336099
41026,411,294.041125
41126,412,294.614529
41226,413,295.232241
41326,414,295.247879
41426,415,295.681841
41526,416,296.265671
41626,417,297.076255
41726,418,297.418994
41826,419,298.08753
41926,420,298.382051
42026,421,299.053194
42126,422,299.715215
42226,423,300.429363
42326,424,300.747341
42426,425,301.281649
42526,426,301.650452
42626,427,302.500132
42726,428,303.103509
42826,429,303.349812
42926,430,303.748588
43026,431,304.483587
43126,432,305.21207
43226,433,305.854543
43326,434,306.556962
43426,435,306.624728
43526,436,307.281536
43626,437,307.913583
43726,438,308.773689
43826,439,309.405736
43926,440,310.082091
44026,441,310.327091
44126,442,310.860096
44226,443,311.492143
44326,444,312.154163
44426,445,312.842248
44526,446,313.187593
44626,447,313.505572
44726,448,314.260119
44826,449,314.905198
44926,450,315.314399
45026,451,315.61283
45126,452,316.265728
45226,453,316.932961
45326,454,317.512881
45426,455,318.202268
45526,456,318.327375
45626,457,318.903385
45726,458,319.756974
45826,459,320.287373
45926,460,321.047132
46026,461,321.722185
46126,462,321.756068
46226,463,322.573168
46326,464,323.283406
46426,465,324.092687
46526,466,324.538378
46626,467,324.933245
46726,468,325.246011
46826,469,325.88718
46926,470,326.731647
47026,471,327.155184
47126,472,327.577418
47226,473,328.128667
47326,474,328.86106
47426,475,329.635155
47526,476,330.31542
47626,477,330.46268
47726,478,331.043903
47826,479,331.617307
47926,480,332.584274
48026,481,333.298422
48126,482,333.947411
48226,483,333.974777
48326,484,334.696745
48426,485,335.281877
48526,486,336.144589
48626,487,336.594189
48726,488,336.990359
48826,489,337.344827
48926,490,338.148895
49026,491,338.788762
49126,492,339.407777
49226,493,339.571979
49326,494,339.990303
49426,495,340.407324
49526,496,341.253094
49626,497,341.861684
49726,498,342.07671
49826,499,342.612321
49926,500,343.250884
50026,501,344.169633
50126,502,344.684393
50226,503,345.175696
50326,504,345.281254
50426,505,345.913301
50526,506,346.507556
50626,507,347.292077
50726,508,347.77947
50826,509,348.050533
50926,510,348.501437
51026,511,349.28726
51126,512,349.779866
51226,513,350.376727
51326,514,350.788535
51426,515,351.389306
51526,516,351.921008
51626,517,352.735501
51726,518,353.304995
51826,519,353.358426
51926,520,353.874489
52026,521,354.458319
52126,522,355.289754
52226,523,355.870977
52326,524,356.385737
52426,525,356.457412
52526,526,357.195018
52626,527,357.703262
52726,528,358.537303
52826,529,358.988207
52926,530,359.41435
53026,531,359.677595
53126,532,360.253605
53226,533,360.81528
53326,534,361.413444
53426,535,361.745757
53526,536,362.217512
53626,537,362.824799
53726,538,363.535037
53826,539,364.151446
53926,540,364.601047
54026,541,364.728759
54126,542,365.217455
54226,543,366.073651
54326,544,366.60014
54426,545,367.124023
54526,546,367.17615
54626,547,367.872054
54726,548,368.373782
54826,549,369.21043
54926,550,369.871147
55026,551,370.176094
55126,552,370.414577
55226,553,371.145667
55326,554,371.518379
55426,555,371.995347
55526,556,372.219496
55626,557,372.744681
55726,558,373.318085
55826,559,374.09218
55926,560,374.609546
56026,561,374.914493
56126,562,375.42013
56226,563,375.798055
56326,564,376.624278
56426,565,377.322788
56526,566,377.85058
56626,567,377.945713
56726,568,378.443531
56826,569,379.041695
56926,570,379.90962
57026,571,380.404832
57126,572,381.034273
57226,573,381.24539
57326,574,381.679352
57426,575,382.450841
57526,576,382.966904
57626,577,383.54552
57726,578,383.714935
57826,579,383.995121
57926,580,384.941237
58026,581,385.356954
58126,582,385.583709
58226,583,385.88214
58326,584,386.283522
58426,585,387.028947
58526,586,387.534585
58626,587,387.997217
58726,588,388.036313
58826,589,388.60711
58926,590,389.217003
59026,591,389.740886
59126,592,390.297348
59226,593,390.634874
59326,594,390.964581
59426,595,391.454581
59526,596,391.840325
59626,597,392.568808
59726,598,392.964978
59826,599,393.180004
59926,600,393.608754
60026,601,394.290322
60126,602,394.70604
60226,603,395.201252
60326,604,395.49447
60426,605,396.198192
60526,606,396.39758
60626,607,396.91625
60726,608,397.509201
60826,609,397.49226
60926,610,397.857153
61026,611,398.446195
61126,612,399.303694
61226,613,399.745476
61326,614,400.063454
61426,615,400.214624
61526,616,400.849278
61626,617,401.262389
61726,618,402.058638
61826,619,402.28018
61926,620,402.599462
62026,621,402.960445
62126,622,403.410046
62226,623,404.107253
62326,624,404.476055
62426,625,404.724965
62526,626,405.139379
62626,627,405.788368
62726,628,406.110256
62826,629,406.687569
62926,630,406.73709
63026,631,406.918234
63126,632,407.499456
63226,633,408.140626
63326,634,408.754428
63426,635,408.969455
63526,636,408.712726
63626,637,408.55504
63726,638,408.449482
63826,639,408.639748
63926,640,408.686662
64026,641,408.441663
64126,642,408.289189
64226,643,408.411689
64326,644,408.7427
64426,645,409.132353
64526,646,409.084135
64626,647,409.240518
64726,648,409.485518
64826,649,409.816528
64926,650,410.388629
65026,651,410.388629
65126,652,410.879931
65226,653,411.175755
65326,654,411.996765
65426,655,412.751312
65526,656,413.359902
65626,657,414.496284
65726,658,415.338144
65826,659,416.387212
65926,660,417.53011
66026,661,418.11003
66126,662,418.597423
66226,663,419.031385
66326,664,419.461438
66426,665,420.124761
66526,666,420.889734
66626,667,421.246808
66726,668,421.427951
66826,669,421.924467
66926,670,422.447046
67026,671,423.041301
67126,672,423.178136
67226,673,423.481779
67326,674,423.918348
67426,675,424.486538
67526,676,425.110767
67626,677,425.577309
67726,678,425.828824
67826,679,426.084249
67926,680,426.583371
68026,681,427.263636
68126,682,427.900896
68226,683,428.247545
68326,684,428.514699
68426,685,429.01773
68526,686,429.450389
68626,687,430.044644
68726,688,430.184085
68826,689,430.340468
68926,690,430.668872
69026,691,431.238366
69126,692,431.831318
69227,693,432.205333
69326,694,432.129748
69426,695,432.675785
69526,696,433.127992
69626,697,433.848656
69726,698,434.349081
69826,699,434.523708
69926,700,434.678788
70026,701,435.120569
70126,702,435.723946
70226,703,436.134451
70326,704,436.273892
70426,705,436.26086
70526,706,436.590568
70626,707,437.074051
70726,708,437.2982
70826,709,437.382907
70926,710,437.580992
71026,711,437.982375
71126,712,438.482799
71226,713,438.985831
71326,714,438.981921
71426,715,439.26732
71526,716,440.024473
71626,717,440.256441
71726,718,440.677372
71826,719,441.169977
71926,720,441.08918
72026,721,441.520535
72126,722,442.08221
72226,723,442.692103
72326,724,443.088273
72426,725,443.307209
72526,726,443.677315
72626,727,444.370612
72726,728,444.93359
72826,729,445.234627
72926,730,445.544786
73026,731,445.742871
73126,732,445.968323
73226,733,446.596461
73326,734,447.249359
73426,735,447.676805
73526,736,447.563428
73626,737,448.127709
73726,738,448.491299
73826,739,449.118133
73926,740,449.610739
74026,741,449.846617
74126,742,450.018638
74226,743,450.38744
74326,744,450.902201
74426,745,451.488636
74526,746,451.639806
74626,747,451.916082
74726,748,452.337013
74826,749,452.885656
74926,750,453.522916
75026,751,454.001186
75126,752,454.265734
75226,753,454.496399
75326,754,455.048951
75426,755,455.701849
75526,756,455.984642
75626,757,456.358657
75726,758,456.470732
75826,759,457.00113
75926,760,457.703549
76026,761,458.121873
76126,762,458.071049
76226,763,458.498495
76326,764,458.830809
76426,765,459.57884
76526,766,459.929398
76626,767,460.292988
76726,768,460.283866
76826,769,460.742589
76926,770,461.253439
77026,771,461.661338
77126,772,461.923279
77226,773,462.241257
77326,774,462.583996
77426,775,463.203011
77526,776,463.655218
77626,777,464.042266
77726,778,464.189526
77826,779,464.516627
77926,780,465.078302
78026,781,465.723381
78126,782,466.114338
78226,783,466.415375
78326,784,466.605641
78426,785,467.175135
78526,786,467.486597
78626,787,468.037846
78726,788,468.112128
78826,789,468.33758
78926,790,468.702473
79026,791,469.2446
79126,792,469.688988
79226,793,470.168562
79326,794,470.337977
79426,795,470.682019
79526,796,471.028668
79626,797,471.52388
79726,798,471.76497
79826,799,472.201539
79926,800,472.213267
80026,801,472.776245
80126,802,473.268851
80226,803,473.618106
80326,804,473.444782
80426,805,473.708026
80526,806,474.134169
80626,807,474.841802
80726,808,475.158477
80826,809,475.563769
80926,810,475.464726
81026,811,475.842652
81126,812,476.077226
81226,813,476.731427
81326,814,476.947757
81426,815,476.988156
81526,816,477.363474
81626,817,477.932968
81726,818,478.369537
81826,819,478.836079
81926,820,478.952063
82026,821,479.182728
82126,822,479.757434
82226,823,480.195306
