Date/Time: 3/4/2016 3:02:21 PM
Material:  Al 6061 T6
Time (ms)	Displacement (um)	Load (N)
19526	196.000000	204.157502	
19626	197.000000	204.917262	
19726	198.000000	205.289974	
19826	199.000000	205.863378	
19926	200.000000	206.587951	
20026	201.000000	207.501487	
20126	202.000000	208.048827	
20226	203.000000	208.521885	
20326	204.000000	208.915449	
20426	205.000000	209.453666	
20526	206.000000	210.606989	
20626	207.000000	211.094382	
20726	208.000000	211.481430	
20826	209.000000	211.984461	
20926	210.000000	212.779407	
21026	211.000000	213.407545	
21126	212.000000	214.072172	
21226	213.000000	214.627331	
21326	214.000000	215.083447	
21426	215.000000	215.556505	
21526	216.000000	216.208100	
21626	217.000000	217.004349	
21726	218.000000	217.614242	
21826	219.000000	218.019534	
21926	220.000000	218.317965	
22026	221.000000	219.043842	
22126	222.000000	219.639399	
22226	223.000000	220.186739	
22326	224.000000	220.820090	
22426	225.000000	221.531631	
22526	226.000000	221.605913	
22626	227.000000	222.409981	
22726	228.000000	223.301363	
22826	229.000000	223.680592	
22926	230.000000	223.921682	
23026	231.000000	224.420804	
23126	232.000000	225.009846	
23226	233.000000	225.793063	
23326	234.000000	226.335190	
23426	235.000000	226.607557	
23526	236.000000	227.324311	
23626	237.000000	227.839071	
23726	238.000000	228.558432	
23826	239.000000	229.226969	
23926	240.000000	229.426357	
24026	241.000000	229.864228	
24126	242.000000	230.306010	
24226	243.000000	231.112685	
24326	244.000000	231.581833	
24426	245.000000	231.949333	
24526	246.000000	232.194332	
24626	247.000000	232.513614	
24726	248.000000	233.226459	
24826	249.000000	233.935394	
24926	250.000000	234.047468	
25026	251.000000	234.451457	
25126	252.000000	235.011829	
25226	253.000000	235.690791	
25326	254.000000	236.381482	
25426	255.000000	236.893636	
25526	256.000000	237.145151	
25626	257.000000	237.523076	
25726	258.000000	237.980496	
25826	259.000000	238.596905	
25926	260.000000	239.258925	
26026	261.000000	239.425734	
26126	262.000000	239.606877	
26226	263.000000	240.219377	
26326	264.000000	240.852727	
26426	265.000000	241.401370	
26526	266.000000	241.639854	
26626	267.000000	241.981289	
26726	268.000000	242.449135	
26826	269.000000	243.004294	
26926	270.000000	243.564665	
27026	271.000000	243.790117	
27126	272.000000	244.204532	
27226	273.000000	244.483414	
27326	274.000000	245.055515	
27426	275.000000	245.529876	
27526	276.000000	245.780088	
27626	277.000000	245.893466	
27726	278.000000	246.413439	
27826	279.000000	246.968598	
27926	280.000000	247.394741	
28026	281.000000	247.564156	
28126	282.000000	247.721842	
28226	283.000000	247.905591	
28326	284.000000	248.435990	
28426	285.000000	248.843888	
28526	286.000000	248.645803	
28626	287.000000	248.946840	
28726	288.000000	249.103223	
28826	289.000000	249.477239	
28926	290.000000	249.839525	
29026	291.000000	250.329525	
29126	292.000000	250.475482	
29226	293.000000	250.771306	
29326	294.000000	250.951146	
29426	295.000000	251.422901	
29526	296.000000	251.897262	
29626	297.000000	252.228273	
29726	298.000000	252.082315	
29826	299.000000	252.256943	
29926	300.000000	252.726091	
30026	301.000000	253.137899	
30126	302.000000	253.328165	
30226	303.000000	253.229123	
30326	304.000000	253.496277	
30426	305.000000	253.716516	
30526	306.000000	254.425451	
30626	307.000000	254.717366	
30726	308.000000	254.921967	
30826	309.000000	254.826834	
30926	310.000000	255.168269	
31026	311.000000	255.445849	
31126	312.000000	255.881114	
31226	313.000000	255.980157	
31326	314.000000	256.103960	
31426	315.000000	256.229066	
31526	316.000000	256.743826	
31626	317.000000	256.971884	
31726	318.000000	257.252070	
31826	319.000000	257.365448	
