Date/Time: 02/23/2016 14:19:18.3	
Image #	Time Stamp
0000	593.896969
0001	594.895026
0002	595.895083
0003	596.895140
0004	597.895197
0005	598.895255
0006	599.895312
0007	600.895369
0008	601.895426
0009	602.895483
0010	603.895541
0011	604.895598
0012	605.895655
0013	606.895712
0014	607.895770
0015	608.895827
0016	609.894884
0017	610.895941
0018	611.894998
0019	612.895055
0020	613.895113
0021	614.895170
0022	615.895227
0023	616.895284
0024	617.895341
0025	618.895399
0026	619.895456
0027	620.895513
0028	621.895570
0029	622.895627
0030	623.895685
0031	624.895742
0032	625.895799
0033	626.895856
0034	627.895914
0035	628.895971
0036	629.896028
0037	630.896085
0038	631.896142
0039	632.896199
0040	633.896256
0041	634.896314
0042	635.896371
0043	636.896428
0044	637.896485
0045	638.896543
0046	639.896600
0047	640.896657
0048	641.896714
0049	642.896771
0050	643.896829
0051	644.896886
0052	645.896943
0053	646.897000
0054	647.897058
0055	648.897115
0056	649.897172
0057	650.897229
0058	651.897286
0059	652.897344
0060	653.897401
0061	654.897458
0062	655.897515
0063	656.897572
0064	657.897629
0065	658.897686
0066	659.897744
0067	660.897801
0068	661.897858
0069	662.897915
0070	663.897973
0071	664.898030
0072	665.898087
0073	666.898144
0074	667.898201
0075	668.898259
0076	669.898316
0077	670.898373
0078	671.898430
0079	672.898488
0080	673.897545
0081	674.898602
0082	675.897659
0083	676.897716
0084	677.897773
0085	678.898830
0086	679.898888
0087	680.898945
0088	681.898002
0089	682.899059
0090	683.899117
0091	684.898174
0092	685.898231
0093	686.899288
0094	687.898345
0095	688.898403
0096	689.899460
0097	690.898517
0098	691.898574
0099	692.898632
0100	693.898689
0101	694.898746
0102	695.898803
0103	696.898860
0104	697.898918
0105	698.898974
0106	699.899032
0107	700.899089
0108	701.899146
0109	702.899203
0110	703.899261
0111	704.899318
0112	705.899375
0113	706.899432
0114	707.899489
0115	708.899547
0116	709.899604
0117	710.899661
0118	711.899718
0119	712.899776
0120	713.899833
0121	714.899890
0122	715.899947
0123	716.900004
0124	717.900062
0125	718.900119
0126	719.900176
0127	720.900233
0128	721.900290
0129	722.900347
0130	723.900404
0131	724.900462
0132	725.900519
0133	726.900576
0134	727.900633
0135	728.900691
0136	729.900748
0137	730.900805
0138	731.900862
0139	732.900919
0140	733.900977
0141	734.901034
0142	735.901091
0143	736.901148
0144	737.901206
0145	738.901263
0146	739.901320
0147	740.900377
0148	741.900434
0149	742.901492
0150	743.900548
0151	744.900606
0152	745.900663
0153	746.900720
0154	747.900777
0155	748.900835
0156	749.900892
0157	750.900949
0158	751.899006
0159	752.901063
0160	753.901121
0161	754.901178
0162	755.901235
0163	756.901292
0164	757.901350
0165	758.901407
0166	759.901464
0167	760.901521
0168	761.901578
0169	762.901635
0170	763.901692
0171	764.901750
0172	765.901807
0173	766.901864
0174	767.901921
0175	768.901978
0176	769.902036
0177	770.902093
0178	771.902150
0179	772.902207
0180	773.902265
0181	774.902322
0182	775.902379
0183	776.902436
0184	777.902493
0185	778.902551
0186	779.902608
0187	780.902665
0188	781.902722
0189	782.902779
0190	783.902836
0191	784.902894
0192	785.902951
0193	786.903008
0194	787.903065
0195	788.903122
0196	789.903180
0197	790.903237
0198	791.903294
0199	792.903351
0200	793.903409
0201	794.903466
0202	795.903523
0203	796.903580
0204	797.903637
0205	798.903695
0206	799.903752
0207	800.903809
0208	801.903866
0209	802.903924
0210	803.903981
0211	804.903038
0212	805.904095
0213	806.904152
0214	807.904209
0215	808.904266
0216	809.904324
0217	810.904381
0218	811.904438
0219	812.903495
0220	813.904552
0221	814.904610
0222	815.903667
0223	816.904724
0224	817.904781
0225	818.903839
0226	819.903896
0227	820.904953
0228	821.904010
0229	822.904067
0230	823.904124
0231	824.904181
0232	825.904239
0233	826.904296
0234	827.904353
0235	828.904410
0236	829.904468
0237	830.904525
0238	831.904582
0239	832.904639
0240	833.904696
0241	834.904754
0242	835.904811
0243	836.904868
0244	837.904925
0245	838.904983
0246	839.905040
0247	840.905097
0248	841.905154
0249	842.905211
0250	843.905269
0251	844.905325
0252	845.905383
0253	846.905440
0254	847.905497
0255	848.905554
0256	849.905612
0257	850.905669
0258	851.905726
0259	852.905783
0260	853.905840
0261	854.905898
0262	855.905955
0263	856.906012
0264	857.906069
0265	858.906126
0266	859.906184
0267	860.906241
0268	861.906298
0269	862.906355
0270	863.906413
0271	864.906470
0272	865.906527
0273	866.906584
0274	867.906641
0275	868.906698
0276	869.906755
0277	870.906813
0278	871.905870
0279	872.905927
0280	873.905984
0281	874.906042
0282	875.906099
0283	876.906156
0284	877.906213
0285	878.906271
0286	879.906328
0287	880.906385
